### This file contains beam monitor calibration data for alphas ###
# Initial energy / MeV, energy at DUT mean / MeV,  energy at DUT sigma / MeV
# [('initial_energy', '<f4'), ('final_energy', '<f4'), ('final_energy_std', '<f4')]
2.800000000000000000e+01,1.801889991760253906e+01,1.835670620203018188e-01
3.000000000000000000e+01,2.074927902221679688e+01,1.777266561985015869e-01
3.200000000000000000e+01,2.335564804077148438e+01,1.738293319940567017e-01
3.400000000000000000e+01,2.586944770812988281e+01,1.708793491125106812e-01
3.600000000000000000e+01,2.831258583068847656e+01,1.686975806951522827e-01
3.800000000000000000e+01,3.070089340209960938e+01,1.670033037662506104e-01
4.000000000000000000e+01,3.304644393920898438e+01,1.656836122274398804e-01
4.200000000000000000e+01,3.536841201782226562e+01,1.645111888647079468e-01
4.400000000000000000e+01,3.764707565307617188e+01,1.635769158601760864e-01
4.600000000000000000e+01,3.990035247802734375e+01,1.628875136375427246e-01
4.800000000000000000e+01,4.213177871704101562e+01,1.622377187013626099e-01
5.000000000000000000e+01,4.434376144409179688e+01,1.617864817380905151e-01
5.200000000000000000e+01,4.653865814208984375e+01,1.613458693027496338e-01
5.400000000000000000e+01,4.871849060058593750e+01,1.609955877065658569e-01
5.600000000000000000e+01,5.088407897949218750e+01,1.606363803148269653e-01
