### This file contains beam monitor calibration data for deuterons ###
# Initial energy / MeV, energy at DUT mean / MeV,  energy at DUT sigma / MeV
# [('initial_energy', '<f4'), ('final_energy', '<f4'), ('final_energy_std', '<f4')]
1.400000000000000000e+01,1.169845676422119141e+01,6.416837126016616821e-02
1.500000000000000000e+01,1.283718967437744141e+01,6.333419680595397949e-02
1.600000000000000000e+01,1.395740222930908203e+01,6.274832785129547119e-02
1.700000000000000000e+01,1.506295490264892578e+01,6.221706792712211609e-02
1.800000000000000000e+01,1.615665817260742188e+01,6.180695444345474243e-02
1.900000000000000000e+01,1.724040222167968750e+01,6.100346893072128296e-02
2.000000000000000000e+01,1.831780815124511719e+01,6.055201217532157898e-02
2.100000000000000000e+01,1.938663101196289062e+01,6.036590412259101868e-02
2.200000000000000000e+01,2.044962501525878906e+01,6.011645495891571045e-02
2.300000000000000000e+01,2.150743865966796875e+01,5.995881184935569763e-02
2.400000000000000000e+01,2.256084442138671875e+01,5.978257209062576294e-02
2.500000000000000000e+01,2.360998725891113281e+01,5.964975431561470032e-02
2.600000000000000000e+01,2.465555000305175781e+01,5.949187651276588440e-02
2.700000000000000000e+01,2.569784164428710938e+01,5.942077189683914185e-02
2.800000000000000000e+01,2.673683357238769531e+01,5.928938835859298706e-02
