### This file contains beam monitor calibration data for protons ###
# Initial energy / MeV, energy at DUT mean / MeV,  energy at DUT sigma / MeV
# [('initial_energy', '<f4'), ('final_energy', '<f4'), ('final_energy_std', '<f4')]
7.000000000000000000e+00,4.485149383544921875e+00,7.274931669235229492e-02
7.500000000000000000e+00,5.169362068176269531e+00,7.003546506166458130e-02
8.000000000000000000e+00,5.822299003601074219e+00,6.818123161792755127e-02
8.500000000000000000e+00,6.451987266540527344e+00,6.674090027809143066e-02
9.000000000000000000e+00,7.063783645629882812e+00,6.558969616889953613e-02
9.500000000000000000e+00,7.661623477935791016e+00,6.474756449460983276e-02
1.000000000000000000e+01,8.248719215393066406e+00,6.371647864580154419e-02
1.050000000000000000e+01,8.826905250549316406e+00,6.297903507947921753e-02
1.100000000000000000e+01,9.397494316101074219e+00,6.240972504019737244e-02
1.150000000000000000e+01,9.961688995361328125e+00,6.204782426357269287e-02
1.200000000000000000e+01,1.052024650573730469e+01,6.163158640265464783e-02
1.250000000000000000e+01,1.107397270202636719e+01,6.129443272948265076e-02
1.300000000000000000e+01,1.162335300445556641e+01,6.104218214750289917e-02
1.319999980926513672e+01,1.184196662902832031e+01,6.093817576766014099e-02
1.339999961853027344e+01,1.205999088287353516e+01,6.086225062608718872e-02
1.360000038146972656e+01,1.227746486663818359e+01,6.077045574784278870e-02
1.380000019073486328e+01,1.249438858032226562e+01,6.073839962482452393e-02
1.400000000000000000e+01,1.271081352233886719e+01,6.061572954058647156e-02
